9845,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:   0.0,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,Camera:0
9881,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.9375,Camera:0
9915,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:0
9951,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0022222222222222222,ay:0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,Camera:0
9986,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:359.9375,Camera:0
10022,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:359.9375,Camera:0
10056,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0022222222222222222,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,Camera:0
10089,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:359.9375,Camera:0
10125,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0011111111111111111,ay:-0.0011111111111111111,az:   0.0,q:359.9375,Camera:0
10160,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:   0.0,ay:-0.0022222222222222222,az:   0.0,q:359.9375,Camera:0
10195,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:   0.0,ay:   0.0,az:-0.0022222222222222222,q:359.9375,Camera:0
10230,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:   0.0,ay:0.0044444444444444444,az:   0.0,q:359.9375,Camera:0
10265,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:-0.0022222222222222222,q:359.9375,Camera:0
10301,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.9375,Camera:0
10336,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0011111111111111111,q:359.9375,Camera:0
10375,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:0.0011111111111111111,ay:0.005555555555555556,az:-0.0011111111111111111,q:359.9375,Camera:0
10411,state:0,Time:11:39:33,Lat:39.59425000,Lng:-119.20687667,ax:   0.0,ay:-0.006666666666666667,az:   0.0,q:359.9375,Camera:0
10447,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:   0.0,ay:0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,Camera:0
10485,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:-0.0011111111111111111,ay:-0.0044444444444444444,az:   0.0,q:359.9375,Camera:0
10520,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:   0.0,ay:-0.0022222222222222222,az:   0.0,q:359.9375,Camera:0
10556,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:359.9375,Camera:0
10590,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:0.0022222222222222222,ay:-0.0044444444444444444,az:0.0011111111111111111,q:359.9375,Camera:0
10626,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:0.0033333333333333335,ay:0.0011111111111111111,az:   0.0,q:359.9375,Camera:0
10664,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.9375,Camera:0
10699,state:0,Time:11:39:34,Lat:39.59424833,Lng:-119.20687500,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.9375,Camera:0
