5218,state:7,Time:15:18:59,Lat:0.00000000,Lng:0.00000000,ax:  0.01,ay:-0.0011111111111111111,az:-0.005555555555555556,q:   0.0,rV:     0,lV:     0,Camera:0
18733,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0022222222222222222,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
18772,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
18808,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18845,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
18883,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18921,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18957,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
18995,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:   0.0,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
19032,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
19069,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:0.0033333333333333335,ay:0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
19106,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
19144,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
19182,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:0.0022222222222222222,ay:0.0044444444444444444,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
19220,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
19255,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0044444444444444444,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
19292,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:-0.0044444444444444444,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
19329,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:-0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
19365,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:0.0033333333333333335,q:0.0625,rV:    55,lV:    85,Camera:0
19403,state:7,Time:15:19:13,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
19443,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:-0.0022222222222222222,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
19484,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:-0.0022222222222222222,ay:   0.0,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
19523,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.006666666666666667,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
19558,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:   0.0,ay:0.0022222222222222222,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
19594,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:   0.0,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
19632,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0033333333333333335,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
19671,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:-0.0011111111111111111,az:0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
19709,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:-0.0011111111111111111,ay:0.0022222222222222222,az:   0.0,q:0.0625,rV:    55,lV:    85,Camera:0
19746,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0022222222222222222,az:-0.0022222222222222222,q:0.0625,rV:    55,lV:    85,Camera:0
19784,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:0.0033333333333333335,az:0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
19822,state:7,Time:15:19:14,Lat:0.00000000,Lng:0.00000000,ax:0.0011111111111111111,ay:   0.0,az:-0.0011111111111111111,q:0.0625,rV:    55,lV:    85,Camera:0
